simID,baselineHay,risk,gender,age,education,vote,environmentalist,rowID,ranchingIncomePercent,yearsRanching,ranchDecisionMaker,privateLand,droughtExperience,yearsDrought,droughtSeverity,droughtResponse,droughtPrepare,droughtInfo_USDM,droughtInfo_SPISPEI,droughtInfo_PDSI,droughtInfo_EDDI,droughtInfo_SDO,droughtInfo_privateSubscription,droughtInfo_Other,heardOfPRF,purchasedPRF,purchaseFreqPRF,paysOffPRF,accuratePRF,likelyToPurchasePRF,acres,herdSize,ranchingIncome,droughtResponseBuyFeed,droughtResponseRentPasture,droughtResponseWeanCalves,droughtResponseSellRetainedYearlings,droughtPrepareConservativeStock,stockRate,state,trt,row_names,yr,rev.calf,rev.cow,rev.ins,rev.int,rev.tot,cost.op,cost.ins,cost.adpt,cost.int,cost.tot,profit,taxes,aftax.savings,assets.cow,assets.cash,net.wrth,wn.succ,herd,calves.sold,cows.culled,Gt,forage.potential,rangeHealth,calvesLeft,total.forage,simStartTime,timeElapse,qualtricsCode,startDate,normal,high,low,insured,income,yr_num,risk_std,hay,log_hay,herd_no0,cost.adptPerCow,cash,cash_1,herdy_1,herdy_2,trtXrisk,insuredXrisk,year,riskXtrt,payoffPerceptionPRF,prfPerceptionLoss,female,usdm,educ,likelihoodPRF
1008334,32.69,0.28,Female,39,Trade school degree or certificate,Half the time I vote for Democrats and half the time I vote for Republicans,1,55,0.9,15,primary,All private land,1,NA,NA,"Buy additional feed,Sell retained yearlings,Move cattle to a feedlot,Ammoniate crop residues for improved digestibility and intake,Seek government aid","Use conservative stocking rate,Seek forecast information,Purchase insurance (feed, rain-index, etc),Change breeding strategy to improve cattle resilience,Rotate pasture and use shorter grazing periods,Diversify sources of income,Grow alternative crops",Use regularly,Use regularly,"Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used",1,1,Every year,even,2,Moderately likely,NA,NA,6.075,1,0,0,1,0,NA,arizona,1,2,1999,332640,87550,0,5689.5,425879.5,300000,0,0,0,360000,65879.5,20686.163,45193.337,625315.2,158983.337,784298.537,0.88,600,396,103,-0.237207386899607,1,100,132,1.23720738689961,2018-07-06 07:43:03,14.3497076034546,85363,2018-07-06,0,0,6771.9376707193105,0,67500,1999,0.07564799076181102,0,0,600,0,158.983337,90,600,600,0.07564799076181102,0,1,0.28,0,0,1,2,4,0.1900202517903932
1008334,32.69,0.28,Female,39,Trade school degree or certificate,Half the time I vote for Democrats and half the time I vote for Republicans,1,55,0.9,15,primary,All private land,1,NA,NA,"Buy additional feed,Sell retained yearlings,Move cattle to a feedlot,Ammoniate crop residues for improved digestibility and intake,Seek government aid","Use conservative stocking rate,Seek forecast information,Purchase insurance (feed, rain-index, etc),Change breeding strategy to improve cattle resilience,Rotate pasture and use shorter grazing periods,Diversify sources of income,Grow alternative crops",Use regularly,Use regularly,"Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used",1,1,Every year,even,2,Moderately likely,NA,NA,6.075,1,0,0,1,0,NA,arizona,1,3,2000,332640,87550,0,7949.16685,428139.16685,300000,0,65380,0,425380,2759.16684999998,866.378390899994,1892.78845909999,625315.2,160876.1254591,786191.3254591,0.88,600,396,103,-0.0311800284240975,1.02372073868996,100,132,1.0311800284241,2018-07-06 07:43:03,41.2013449668884,85363,2018-07-06,43429.72071781276,8502.520717812766,78356.92071781277,0,67500,2000,0.07564799076181102,65.38,4.195395806291828,600,108.96666666666667,160.8761254591,158.983337,600,600,0.07564799076181102,0,2,0.28,0,0,1,2,4,0.1900202517903932
1008334,32.69,0.28,Female,39,Trade school degree or certificate,Half the time I vote for Democrats and half the time I vote for Republicans,1,55,0.9,15,primary,All private land,1,NA,NA,"Buy additional feed,Sell retained yearlings,Move cattle to a feedlot,Ammoniate crop residues for improved digestibility and intake,Seek government aid","Use conservative stocking rate,Seek forecast information,Purchase insurance (feed, rain-index, etc),Change breeding strategy to improve cattle resilience,Rotate pasture and use shorter grazing periods,Diversify sources of income,Grow alternative crops",Use regularly,Use regularly,"Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used",1,1,Every year,even,2,Moderately likely,NA,NA,6.075,1,0,0,1,0,NA,arizona,1,4,2001,332640,87550,3556.8,8043.806272955,431790.606272955,300000,5654.82,33180,0,398834.82,32955.786272955,10348.1168897079,22607.6693832471,625315.2,183483.794842347,808798.994842347,0.88,600,396,103,-0.0696380494332116,1.02691270286303,100,132,1.06963804943321,2018-07-06 07:43:03,1.02017353773117,85363,2018-07-06,14405.95628532789,0,50161.65526969988,1,67500,2001,0.07564799076181102,33.18,3.5316406776874447,600,55.3,183.483794842347,160.8761254591,600,600,0.07564799076181102,0.07564799076181102,3,0.28,0,0,1,2,4,0.1900202517903932
1008334,32.69,0.28,Female,39,Trade school degree or certificate,Half the time I vote for Democrats and half the time I vote for Republicans,1,55,0.9,15,primary,All private land,1,NA,NA,"Buy additional feed,Sell retained yearlings,Move cattle to a feedlot,Ammoniate crop residues for improved digestibility and intake,Seek government aid","Use conservative stocking rate,Seek forecast information,Purchase insurance (feed, rain-index, etc),Change breeding strategy to improve cattle resilience,Rotate pasture and use shorter grazing periods,Diversify sources of income,Grow alternative crops",Use regularly,Use regularly,"Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used",1,1,Every year,even,2,Moderately likely,NA,NA,6.075,1,0,0,1,0,NA,arizona,1,5,2002,332640,87550,38076,9174.18974211735,467440.189742117,300000,5654.82,85680,0,451334.82,16105.3697421174,5057.08609902485,11048.2836430925,625315.2,194532.07848544,819847.278485439,0.88,600,396,103,-0.0439717840361367,1.03406392261959,100,132,1.04397178403614,2018-07-06 07:43:03,35.1377773284912,85363,2018-07-06,52988.430997615746,17121.245642178154,88855.61635305335,1,67500,2002,0.07564799076181102,85.68,4.462223176668158,600,142.8,194.53207848544,183.483794842347,600,600,0.07564799076181102,0.07564799076181102,4,0.28,0,0,1,2,4,0.1900202517903932
1008334,32.69,0.28,Female,39,Trade school degree or certificate,Half the time I vote for Democrats and half the time I vote for Republicans,1,55,0.9,15,primary,All private land,1,NA,NA,"Buy additional feed,Sell retained yearlings,Move cattle to a feedlot,Ammoniate crop residues for improved digestibility and intake,Seek government aid","Use conservative stocking rate,Seek forecast information,Purchase insurance (feed, rain-index, etc),Change breeding strategy to improve cattle resilience,Rotate pasture and use shorter grazing periods,Diversify sources of income,Grow alternative crops",Use regularly,Use regularly,"Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used",1,1,Every year,even,2,Moderately likely,NA,NA,6.075,1,0,0,1,0,NA,arizona,1,6,2003,332640,87550,14592,9726.60392427198,444508.603924272,300000,5654.82,12460,0,378114.82,66393.783924272,20847.6481522214,45546.1357720506,625315.2,240078.21425749,865393.41425749,0.88,600,396,103,-0.011375130812969,1.03861088616809,100,132,1.01137513081297,2018-07-06 07:43:03,35.3094639778137,85363,2018-07-06,0,0,14775.719034023654,1,67500,2003,0.07564799076181102,12.46,2.599722324216582,600,20.766666666666666,240.07821425749,194.53207848544,600,600,0.07564799076181102,0.07564799076181102,5,0.28,0,0,1,2,4,0.1900202517903932
1008334,32.69,0.28,Female,39,Trade school degree or certificate,Half the time I vote for Democrats and half the time I vote for Republicans,1,55,0.9,15,primary,All private land,1,NA,NA,"Buy additional feed,Sell retained yearlings,Move cattle to a feedlot,Ammoniate crop residues for improved digestibility and intake,Seek government aid","Use conservative stocking rate,Seek forecast information,Purchase insurance (feed, rain-index, etc),Change breeding strategy to improve cattle resilience,Rotate pasture and use shorter grazing periods,Diversify sources of income,Grow alternative crops",Use regularly,Use regularly,"Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used",1,1,Every year,even,2,Moderately likely,NA,NA,6.075,1,0,0,1,0,NA,arizona,1,7,2004,332640,87550,4742.4,12003.9107128745,436936.310712875,300000,5654.82,38080,0,403734.82,33201.4907128745,10425.2680838426,22776.2226290319,625315.2,262854.436886522,888169.636886522,0.88,600,396,103,-0.191979663537375,1.03979231963748,100,132,1.19197966353738,2018-07-06 07:43:03,36.6056046485901,85363,2018-07-06,17440.773944679775,0,53716.544088049865,1,67500,2004,0.07564799076181102,38.08,3.6656108271745818,600,63.46666666666667,262.85443688652197,240.07821425749,600,600,0.07564799076181102,0.07564799076181102,6,0.28,0,0,1,2,4,0.1900202517903932
1008334,32.69,0.28,Female,39,Trade school degree or certificate,Half the time I vote for Democrats and half the time I vote for Republicans,1,55,0.9,15,primary,All private land,1,NA,NA,"Buy additional feed,Sell retained yearlings,Move cattle to a feedlot,Ammoniate crop residues for improved digestibility and intake,Seek government aid","Use conservative stocking rate,Seek forecast information,Purchase insurance (feed, rain-index, etc),Change breeding strategy to improve cattle resilience,Rotate pasture and use shorter grazing periods,Diversify sources of income,Grow alternative crops",Use regularly,Use regularly,"Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used",1,1,Every year,even,2,Moderately likely,NA,NA,6.075,1,0,0,1,0,NA,arizona,1,8,2005,332640,87550,0,13142.7218443261,433332.721844326,300000,5654.82,0,0,365654.82,67677.9018443261,21250.8611791184,46427.0406652077,625315.2,309281.47755173,934596.67755173,0.88,600,396,103,-0.305009858792661,1.05975421760475,100,132,1.30500985879266,2018-07-06 07:43:03,22.5972850322723,85363,2018-07-06,0,0,0,1,67500,2005,0.07564799076181102,0,0,600,0,309.28147755173,262.85443688652197,600,600,0.07564799076181102,0.07564799076181102,7,0.28,0,0,1,2,4,0.1900202517903932
1008334,32.69,0.28,Female,39,Trade school degree or certificate,Half the time I vote for Democrats and half the time I vote for Republicans,1,55,0.9,15,primary,All private land,1,NA,NA,"Buy additional feed,Sell retained yearlings,Move cattle to a feedlot,Ammoniate crop residues for improved digestibility and intake,Seek government aid","Use conservative stocking rate,Seek forecast information,Purchase insurance (feed, rain-index, etc),Change breeding strategy to improve cattle resilience,Rotate pasture and use shorter grazing periods,Diversify sources of income,Grow alternative crops",Use regularly,Use regularly,"Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used",1,1,Every year,even,2,Moderately likely,NA,NA,6.075,1,0,0,1,0,NA,arizona,1,9,2006,332640,87550,21842.4,15464.0738775865,457496.473877586,300000,5654.82,85540,0,451194.82,6301.65387758648,1978.71931756215,4322.93456002432,625315.2,313604.412111754,938919.612111754,0.88,600,396,103,-0.25249845102004,1.09207776603141,100,132,1.25249845102004,2018-07-06 07:43:03,36.2315495014191,85363,2018-07-06,51392.17387828563,14377.926369160832,88406.42138741045,1,67500,2006,0.07564799076181102,85.54,4.460606734796738,600,142.56666666666666,313.604412111754,309.28147755173,600,600,0.07564799076181102,0.07564799076181102,8,0.28,0,0,1,2,4,0.1900202517903932
1008334,32.69,0.28,Female,39,Trade school degree or certificate,Half the time I vote for Democrats and half the time I vote for Republicans,1,55,0.9,15,primary,All private land,1,NA,NA,"Buy additional feed,Sell retained yearlings,Move cattle to a feedlot,Ammoniate crop residues for improved digestibility and intake,Seek government aid","Use conservative stocking rate,Seek forecast information,Purchase insurance (feed, rain-index, etc),Change breeding strategy to improve cattle resilience,Rotate pasture and use shorter grazing periods,Diversify sources of income,Grow alternative crops",Use regularly,Use regularly,"Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used",1,1,Every year,even,2,Moderately likely,NA,NA,6.075,1,0,0,1,0,NA,arizona,1,10,2007,332640,87550,2918.4,15680.2206055877,438788.620605588,300000,5654.82,25900,0,391554.82,47233.8006055877,14831.4133901545,32402.3872154332,625315.2,346006.799327187,971321.999327187,0.88,600,396,103,-0.228210529567568,1.11965256046305,100,132,1.22821052956757,2018-07-06 07:43:03,59.4939804077148,85363,2018-07-06,2731.748758160627,0,40874.967307892744,1,67500,2007,0.07564799076181102,25.9,3.292126286607793,600,43.166666666666664,346.006799327187,313.604412111754,600,600,0.07564799076181102,0.07564799076181102,9,0.28,0,0,1,2,4,0.1900202517903932
1008334,32.69,0.28,Female,39,Trade school degree or certificate,Half the time I vote for Democrats and half the time I vote for Republicans,1,55,0.9,15,primary,All private land,1,NA,NA,"Buy additional feed,Sell retained yearlings,Move cattle to a feedlot,Ammoniate crop residues for improved digestibility and intake,Seek government aid","Use conservative stocking rate,Seek forecast information,Purchase insurance (feed, rain-index, etc),Change breeding strategy to improve cattle resilience,Rotate pasture and use shorter grazing periods,Diversify sources of income,Grow alternative crops",Use regularly,Use regularly,"Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used","Heard of it, but not used",1,1,Every year,even,2,Moderately likely,NA,NA,6.075,1,0,0,1,0,NA,arizona,1,11,2008,332640,87550,3009.6,17300.3399663594,440499.939966359,300000,5654.82,35420,0,401074.82,39425.1199663593,12379.4876694368,27045.6322969225,625315.2,373052.43162411,998367.63162411,0.88,600,396,103,-0.107374267056698,1.14520421083854,0,132,1.1073742670567,2018-07-06 07:43:03,37.6108875274658,85363,2018-07-06,7789.8256456131585,0,46896.154555418056,1,67500,2008,0.07564799076181102,35.42,3.595118074299462,600,59.03333333333333,373.05243162411,346.006799327187,600,600,0.07564799076181102,0.07564799076181102,10,0.28,0,0,1,2,4,0.1900202517903932
