simID,attentionFail,duration,totalFail,risk,gender,age,race,ethnicity,state,zipcode,income,education,vote,environmentalist,cattleKnowledge,droughtKnowledge,droughtImpact,veggieOrVegan,row_names,yr,rev.calf,rev.cow,rev.ins,rev.int,rev.tot,cost.op,cost.ins,cost.adpt,cost.int,cost.tot,profit,taxes,aftax.savings,assets.cow,assets.cash,net.wrth,wn.succ,herd,calves.sold,cows.culled,Gt,forage.potential,rangeHealth,total.forage,simStartTime,timeElapse,yr_num,risk_std,cost.adptPerCow,hay,herdy_1,herdy_2,log_herd,log_herdy_1,log_herdy_2,cattleKnowDummy,droughtKnowDummy,noherd,liqHerd,outlier,bigHerd,trtXrisk,insuredXrisk,trt,insured,year,riskXtrt,female,educ
1844275,0,37.0166666666667,1,0.852,Female,29,Asian,Not Hispanic or Latino,NY New York,11220,52500,Bachelors degree,I vote for Democrats more often than,1,Nothing,I've read or talked about drought at least once before,2,0,2,1999,332640,87550,0,4500,424690,300000,5654.82,0,0,365654.82,59035.18,18537.04652,40498.13348,510000,130498.13348,640498.13348,0.88,600,396,103,-0.237207386899607,1,100,1.23720738689961,2017-09-13 19:36:03,24.3439857959747,1999,-0.1691548813936867,0,0,600,600,6.398594934535208,6.398594934535208,6.398594934535208,0,0,0,0,0,0,-0.1691548813936867,-0.1691548813936867,1,1,1,0.852,1,5
1844275,0,37.0166666666667,1,0.852,Female,29,Asian,Not Hispanic or Latino,NY New York,11220,52500,Bachelors degree,I vote for Democrats more often than,1,Nothing,I've read or talked about drought at least once before,2,0,3,2000,321820.818699871,87550,36297.6,6524.906674,452193.325373871,300000,5654.82,58400,0,424054.82,28138.505373871,8835.49068739548,19303.0146864755,510000,149801.148166475,659801.148166475,0.86811848816303006,600,390,103,0.0529229056788367,1.02372073868996,100,0.947077094321163,2017-09-13 19:36:03,1.3469500541687,2000,-0.1691548813936867,97.33333333333333,58.4,600,600,6.398594934535208,6.398594934535208,6.398594934535208,0,0,0,0,0,0,-0.1691548813936867,-0.1691548813936867,1,1,2,0.852,1,5
1844275,0,37.0166666666667,1,0.852,Female,29,Asian,Not Hispanic or Latino,NY New York,11220,52500,Bachelors degree,I vote for Democrats more often than,1,Nothing,I've read or talked about drought at least once before,2,0,4,2001,306582.672891393,87550,3556.8,7490.05740832377,405179.530299717,300000,5654.82,22800,0,388454.82,16724.7102997169,5251.55903411109,11473.1512656058,510000,161274.299432081,671274.299432081,0.829964805034423,600,367,103,0.0165173910919318,1.01830291108044,100,0.983482608908068,2017-09-13 19:36:03,39.0139701366425,2001,-0.1691548813936867,38,22.8,600,600,6.398594934535208,6.398594934535208,6.398594934535208,0,0,0,0,0,0,-0.1691548813936867,-0.1691548813936867,1,1,3,0.852,1,5
1844275,0,37.0166666666667,1,0.852,Female,29,Asian,Not Hispanic or Latino,NY New York,11220,52500,Bachelors degree,I vote for Democrats more often than,1,Nothing,I've read or talked about drought at least once before,2,0,5,2002,316848.973602867,87550,38076,8063.71497160406,450538.688574471,300000,5654.82,80700,0,446354.82,4183.86857447104,1313.7347323839101,2870.13384208713,509150,164144.433274168,673294.433274168,0.85373592657493,599,384,103,0.0531159449138111,1.01662094033721,100,0.946884055086189,2017-09-13 19:36:03,29.4413983821869,2002,-0.1691548813936867,134.7245409015025,80.7,600,600,6.396929655216146,6.398594934535208,6.398594934535208,0,0,0,0,0,0,-0.1691548813936867,-0.1691548813936867,1,1,4,0.852,1,5
1844275,0,37.0166666666667,1,0.852,Female,29,Asian,Not Hispanic or Latino,NY New York,11220,52500,Bachelors degree,I vote for Democrats more often than,1,Nothing,I've read or talked about drought at least once before,2,0,6,2003,298553.500536724,87550,14592,8207.22166370842,408902.722200433,299500,5654.82,0,0,365154.82,43747.9022004326,13736.8412909358,30011.0609094967,508300,194155.494183665,702455.494183665,0.814575078711336,598,366,103,0.0867144756369612,1.01122106215069,100,0.913285524363039,2017-09-13 19:36:03,5.19148588180542,2003,-0.1691548813936867,0,0,599,600,6.395261598115449,6.396929655216146,6.398594934535208,0,0,0,0,0,0,-0.1691548813936867,-0.1691548813936867,1,1,5,0.852,1,5
1844275,0,37.0166666666667,1,0.852,Female,29,Asian,Not Hispanic or Latino,NY New York,11220,52500,Bachelors degree,I vote for Democrats more often than,1,Nothing,I've read or talked about drought at least once before,2,0,7,2004,290640,86700,4742.4,9707.77470918326,391790.174709183,299000,5654.82,33600,0,398254.82,-6464.64529081673,-2029.89862131645,-4434.74666950027,504900,189720.747514165,694620.747514165,0.803691261439474,594,346,102,-0.109917779733203,1.00245231173495,100,1.1099177797332,2017-09-13 19:36:03,2.381014585495,2004,-0.1691548813936867,56.56565656565657,33.6,598,599,6.38856140554563,6.395261598115449,6.396929655216146,0,0,0,0,0,0,-0.1691548813936867,-0.1691548813936867,1,1,6,0.852,1,5
1844275,0,37.0166666666667,1,0.852,Female,29,Asian,Not Hispanic or Latino,NY New York,11220,52500,Bachelors degree,I vote for Democrats more often than,1,Nothing,I've read or talked about drought at least once before,2,0,8,2005,315000,86700,0,9486.03737570824,411186.037375708,297000,5654.82,0,0,362654.82,48531.2173757082,15238.8022559724,33292.4151197358,497250,223013.162633901,720263.162633901,0.88,585,375,102,-0.260621731975376,1.01347104497438,100,1.26062173197538,2017-09-13 19:36:03,31.5775306224823,2005,-0.1691548813936867,0,0,594,598,6.373319789577012,6.38856140554563,6.395261598115449,0,0,0,0,0,0,-0.1691548813936867,-0.1691548813936867,1,1,7,0.852,1,5
1844275,0,37.0166666666667,1,0.852,Female,29,Asian,Not Hispanic or Latino,NY New York,11220,52500,Bachelors degree,I vote for Democrats more often than,1,Nothing,I've read or talked about drought at least once before,2,0,9,2006,324240,75650,21842.4,11150.658131695,432883.058131695,292500,5654.82,74400,0,432554.82,328.23813169502,103.066773352236,225.171358342783,509150,223238.333992243,732388.333992243,0.88,599,386,89,-0.124676277006907,1.03988430287919,100,1.12467627700691,2017-09-13 19:36:03,4.92773389816284,2006,-0.1691548813936867,124.20701168614357,74.4,585,594,6.396929655216146,6.373319789577012,6.38856140554563,0,0,0,0,0,0,-0.1691548813936867,-0.1691548813936867,1,1,8,0.852,1,5
1844275,0,37.0166666666667,1,0.852,Female,29,Asian,Not Hispanic or Latino,NY New York,11220,52500,Bachelors degree,I vote for Democrats more often than,1,Nothing,I've read or talked about drought at least once before,2,0,10,2007,337680,93500,2918.4,11161.9166996122,445260.316699612,299500,5654.82,25300,0,390454.82,54805.4966996122,17208.9259636782,37596.570735934,509150,260834.904728177,769984.904728177,0.88,599,402,110,-0.156858216263249,1.05284919321928,100,1.15685821626325,2017-09-13 19:36:03,1.41246914863586,2007,-0.1691548813936867,42.23706176961603,25.3,599,585,6.396929655216146,6.396929655216146,6.373319789577012,0,0,0,0,0,0,-0.1691548813936867,-0.1691548813936867,1,1,9,0.852,1,5
2408680,0,37.6666666666667,0,0.852,Male,35,White or Caucasian,Not Hispanic or Latino,NC North Carolina,27106,67500,Bachelors degree,I nearly always vote for Democrats,0,Nothing,I am familiar with drought,1,0,2,1999,332640,87550,0,4500,424690,300000,0,10000,0,370000,54690,17172.66,37517.34,510000,127517.34,637517.34,0.88,600,396,103,-0.237207386899607,1,100,1.23720738689961,2017-09-13 19:36:03,37.6505692005157,1999,-0.1691548813936867,16.666666666666668,10,600,600,6.398594934535208,6.398594934535208,6.398594934535208,0,1,0,0,0,0,-0,-0,0,0,1,0,0,5
